2	21
2	20
6	16
1	11
8	22
2	30
4	29
10	27
5	17
6	27
10	17
2	10
1	11
12	17
11	14
1	25
6	23
11	15
4	16
1	28
10	19
11	30
3	28
12	18
6	11
6	30
8	25
12	16
12	30
5	20
8	11
1	22
11	24
2	20
9	22
10	18
7	19
5	20
3	15
7	13
2	26
3	19
3	10
5	15
7	20
1	19
5	22
4	30
2	29
12	27
7	17
8	29
8	23
12	25
9	25
2	20
5	20
5	14
2	23
4	12
7	17
7	26
3	23
8	13
1	27
6	12
10	27
7	24
3	13
2	28
10	26
1	26
9	18
7	23
1	28
8	20
6	29
12	12
5	17
6	15
9	24
11	26
1	22
3	24
11	27
12	25
2	14
8	21
3	15
4	13
8	29
3	28
1	29
3	18
8	11
9	29
9	12
1	17
1	24
10	12
2	20
2	20
3	13
9	15
6	24
1	16
9	21
10	17
10	24
2	27
8	25
4	27
8	19
3	28
1	27
8	17
9	16
7	30
7	16
6	17
1	30
9	24
6	12
1	24
11	14
12	15
5	18
4	11
8	11
9	29
1	17
4	28
4	16
12	29
12	11
6	14
11	11
12	23
12	24
8	23
4	30
3	29
1	19
6	17
4	20
9	12
2	26
12	21
6	16
3	13
4	22
9	10
9	11
6	15
4	29
2	28
7	20
2	13
9	13
3	21
8	20
1	21
4	29
8	20
12	23
12	21
5	19
9	14
2	25
1	29
3	11
9	11
3	23
2	21
2	26
1	27
12	21
9	18
7	10
3	29
5	26
9	12
6	20
2	25
7	26
11	24
5	19
3	22
8	13
6	15
7	10
2	30
11	10
11	16
9	10
4	18
6	27
9	12
5	16
10	10
