4	18
4	29
3	16
11	27
5	14
5	13
3	18
6	27
2	29
10	16
6	16
12	14
2	23
9	28
2	10
5	27
2	14
12	18
7	15
3	24
1	14
2	11
8	13
4	28
4	29
9	28
10	27
12	19
3	12
4	24
11	11
6	24
5	15
9	15
10	19
4	20
9	29
5	30
8	13
11	10
7	15
5	17
9	23
11	28
10	25
4	25
4	24
6	11
8	23
3	28
1	14
10	18
7	30
12	23
6	28
5	15
12	15
6	26
1	10
10	19
3	20
8	26
7	11
5	30
3	12
9	22
11	14
12	26
9	29
3	23
4	12
10	11
2	19
2	28
3	19
3	20
8	29
4	13
9	27
4	23
2	30
3	14
10	14
9	22
1	21
11	17
9	21
12	18
6	29
5	28
5	26
2	15
8	29
6	21
5	12
3	17
5	17
12	14
9	17
8	29
9	19
1	15
8	20
7	23
2	16
12	13
1	12
4	29
5	28
5	25
11	19
1	10
3	10
10	17
1	14
2	17
7	16
6	10
1	13
11	16
7	17
3	23
2	15
1	28
8	10
9	28
4	13
1	14
8	14
11	11
7	10
11	29
7	14
7	19
1	16
5	24
9	10
3	20
4	11
3	20
8	14
8	21
12	17
6	20
3	15
3	23
4	17
5	27
7	21
10	21
5	12
10	12
2	14
7	19
12	27
9	19
5	23
6	17
7	27
2	28
3	16
5	28
11	13
2	21
10	14
7	22
3	14
1	14
3	27
6	27
3	15
1	30
8	26
2	12
12	21
7	27
4	27
6	19
2	26
3	24
10	11
8	16
1	15
6	12
10	18
4	26
12	26
3	20
4	13
5	27
3	25
6	22
3	24
1	15
2	15
11	26
2	16
8	18
6	12
4	25
