6	11
9	25
6	22
10	14
6	27
12	13
9	30
8	18
7	20
9	25
5	20
2	19
3	30
7	18
6	14
6	21
8	26
2	15
4	27
12	23
12	27
10	29
12	28
3	23
4	24
1	30
7	29
10	15
6	22
2	20
8	23
11	11
2	19
6	29
2	20
8	12
3	22
11	22
7	11
6	21
10	30
8	28
10	16
7	29
7	11
1	14
4	19
4	17
10	16
3	20
4	16
12	27
6	12
5	18
2	23
7	23
1	17
10	29
4	16
12	26
9	10
11	25
4	17
11	15
4	11
2	28
9	12
2	21
4	22
2	25
8	20
12	25
6	30
11	16
6	21
9	19
6	26
1	20
4	24
4	27
5	29
2	30
3	16
5	11
12	15
11	17
6	17
3	21
7	25
12	16
4	14
12	28
6	15
6	16
6	30
7	14
11	16
11	12
4	13
6	15
